oracion_español,oracion_transformada_lse
La semana pasada hicieron una resonancia en el centro de diagnóstico.,PASADO SEMANA CENTRO DIAGNÓSTICO RESONANCIA HACER
Mañana al amanecer harán fisioterapia en el centro deportivo.,FUTURO MAÑANA AMANECER CENTRO DEPORTIVO FISIOTERAPIA HACER
El jueves que veniré pondrán insulinas en la unidad de diabetes.,FUTURO JUEVES UNIDAD DIABETES INSULINAS PONER
Anoche suturaron una cesárea en el quirófano.,PASADO NOCHE QUIRÓFANO CESÁREA SUTURAR
El día de Navidad atendieron un infarto en la unidad coronaria.,PASADO DÍA NAVIDAD UNIDAD CORONARIA INFARTO ATENDER
Hace cinco minutos reanimaron un ahogado en la piscina.,PASADO HACE CINCO MINUTOS PISCINA AHOGADO REANIMAR
El verano pasado hicieron un cateterismo en el laboratorio de hemodinámica.,PASADO VERANO LABORATORIO HEMODINÁMICA CATETERISMO HACER
El lunes pasado hicieron hemodiálisis en la unidad renal.,PASADO LUNES UNIDAD RENAL HEMODIÁLISIS HACER
Esta mañana han hecho un electroencefalograma en la consulta neurológica.,HOY MAÑANA CONSULTA NEUROLÓGICA ELECTROENCEFALOGRAMA HACER
El domingo por la tarde hicieron una ecografía 4D en la clínica materna.,PASADO DOMINGO TARDE CLÍNICA MATERNA ECOGRAFÍA 4D HACER
El mes que veniré harán cirugía maxilofacial en el hospital especializado.,FUTURO MES HOSPITAL ESPECIALIZADO CIRUGÍA MAXILOFACIAL HACER
Ayer por la noche hicieron una endoscopia nasal en el servicio ORL.,PASADO AYER NOCHE SERVICIO ORL ENDOSCOPIA NASAL HACER
El invierno próximo harán un trasplante de pulmón en el instituto respiratorio.,FUTURO INVIERNO INSTITUTO RESPIRATORIO TRASPLANTE PULMÓN HACER
El sábado por la mañana hicieron una biopsia de piel en la clínica.,PASADO SÁBADO MAÑANA CLÍNICA BIOPSIA PIEL HACER
Hace tres días hicieron una mamografía en la unidad de screening.,PASADO HACE TRES DÍAS UNIDAD SCREENING MAMOGRAFÍA HACER
La próxima semana harán una prostatectomía robótica en el quirófano.,FUTURO PRÓXIMA SEMANA QUIRÓFANO PROSTATECTOMÍA ROBÓTICA HACER
El año pasado hicieron una cirugía fetal en el hospital materno-infantil.,PASADO AÑO HOSPITAL MATERNO-INFANTIL CIRUGÍA FETAL HACER
Esta tarde ponen un yeso en la sala de emergencias.,HOY TARDE SALA EMERGENCIAS YESO PONER
El miércoles próximo harán una artroscopia de rodilla en el hospital deportivo.,FUTURO MIÉRCOLES HOSPITAL DEPORTIVO ARTROSCOPIA RODILLA HACER
El fin de semana que veniré harán un estudio del sueño en la unidad.,FUTURO FIN SEMANA UNIDAD ESTUDIO SUEÑO HACER
Ayer al anochecer hicieron una autopsia virtual en el laboratorio forense.,PASADO AYER ANOCHECER LABORATORIO FORENSE AUTOPSIA VIRTUAL HACER
El jueves pasado hicieron una liposucción láser en la clínica estética.,PASADO JUEVES CLÍNICA ESTÉTICA LIPOSUCCIÓN LÁSER HACER
La semana pasada hicieron un blanqueamiento dental en la consulta.,PASADO SEMANA CONSULTA BLANQUEAMIENTO DENTAL HACER
El mes pasado hicieron una ortodoncia lingual en la clínica dental.,PASADO MES CLÍNICA DENTAL ORTODONCIA LINGUAL HACER
Mañana por la mañana harán un implante dental en el centro odontológico.,FUTURO MAÑANA MAÑANA CENTRO ODONTOLÓGICO IMPLANTE DENTAL HACER
Anoche hicieron una rinoplastia estética en el quirófano.,PASADO NOCHE QUIRÓFANO RINOPLASTIA ESTÉTICA HACER
El lunes próximo harán una cirugía refractiva láser en el instituto oftalmológico.,FUTURO LUNES INSTITUTO OFTALMOLÓGICO CIRUGÍA REFRACTIVA LÁSER HACER
Hace cuatro días hicieron una vasectomía sin bisturí en la clínica.,PASADO HACE CUATRO DÍAS CLÍNICA VASECTOMÍA SIN BISTURÍ HACER
Esta tarde hacen una fertilización in vitro en la unidad de reproducción.,HOY TARDE UNIDAD REPRODUCCIÓN FERTILIZACIÓN IN VITRO HACER
El año que veniré harán una amniocentesis ecoguiada en el hospital.,FUTURO HOSPITAL AMNIOCENTESIS ECOGUIADA HACER
El verano pasado hicieron una cirugía bariátrica laparoscópica en la clínica.,PASADO CLÍNICA CIRUGÍA BARIÁTRICA LAPAROSCÓPICA HACER
El año pasado hicieron un marcapasos inalámbrico en el hospital.,PASADO HOSPITAL MARCAPASOS INALÁMBRICO HACER
La semana que veniré harán una angioplastia con stent en el laboratorio.,FUTURO LABORATORIO ANGIOPLASTIA STENT HACER
Mañana por la tarde harán una lobectomía toracoscópica en el quirófano.,MAÑANA TARDE QUIRÓFANO LOBECTOMÍA TORACÓSCOPICA HACER
Anoche hicieron una prostatectomía laparoscópica en el centro.,PASADO NOCHE CENTRO PROSTATECTOMÍA LAPAROSCÓPICA HACER
El día de su operación le extirparon un quiste en el hospital.,PASADO DÍA OPERACIÓN HOSPITAL QUISTE EXTIRPAR
Hace una hora le transplantaron un riñón en el centro de trasplantes.,PASADO HACE UNA HORA CENTRO TRASPLANTES RIÑÓN TRASPLANTAR
El otoño pasado le hicieron una apicectomía con láser en la clínica.,PASADO OTOÑO CLÍNICA APICECTOMÍA LÁSER HACER
El viernes por la tarde le hicieron una gingivectomía con electrocauterio en la consulta.,PASADO VIERNES TARDE CONSULTA GINGIVECTOMÍA ELECTROCAUTERIO HACER
Esta mañana han hecho una extracción de cordales en el quirófano dental.,HOY MAÑANA QUIRÓFANO DENTAL EXTRACCIÓN CORDALES HACER
El martes le hicieron un lifting facial con hilos en la clínica.,PASADO MARTES CLÍNICA LIFTING FACIAL HILOS HACER
El año pasado le hicieron una blefaroplastia transconjuntival en el hospital.,PASADO AÑO HOSPITAL BLEFAROPLASTIA TRANSCONJUNTIVAL HACER
La semana pasada le hicieron una otoplastia con anestesia local en la clínica.,PASADO SEMANA CLÍNICA OTOPLASTIA ANESTESIA LOCAL HACER
Mañana al amanecer le harán una mamoplastia de reducción en el centro.,MAÑANA AMANECER CENTRO MAMOPLASTIA REDUCCIÓN HACER
El jueves que veniré le harán una abdominoplastia circular en el quirófano.,FUTURO JUEVES QUIRÓFANO ABDOMINOPLASTIA CIRCULAR HACER
Anoche le hicieron una lipectomía ultrasónica en la clínica.,PASADO NOCHE CLÍNICA LIPECTOMÍA ULTRASÓNICA HACER
El día de Navidad le hicieron una dermoabrasión mecánica en la consulta.,PASADO DÍA NAVIDAD CONSULTA DERMOABRASIÓN MECÁNICA HACER
Hace cinco minutos le hicieron un peeling con ácidos en el centro.,PASADO HACE CINCO MINUTOS CENTRO PEELING ÁCIDOS HACER
El verano pasado le hicieron una mesoterapia con vitaminas en la clínica.,PASADO VERANO CLÍNICA MESOTERAPIA VITAMINAS HACER
El lunes pasado le hicieron una infiltración ecoguiada en el hospital.,PASADO LUNES HOSPITAL INFILTRACIÓN ECOGUIADA HACER
Esta mañana han hecho una crioterapia con nitrógeno en la consulta.,HOY MAÑANA CONSULTA CRIOTERAPIA NITRÓGENO HACER
El domingo por la tarde le hicieron una acupuntura auricular en el centro.,PASADO DOMINGO TARDE CENTRO ACUPUNTURA AURICULAR HACER
El mes que veniré le harán una hidroterapia de colon en la clínica.,FUTURO MES CLÍNICA HIDROTERAPIA COLON HACER
Ayer por la noche le hicieron una fisioterapia respiratoria en el hospital.,PASADO AYER NOCHE HOSPITAL FISIOTERAPIA RESPIRATORIA HACER
El invierno próximo le harán una radioterapia intraoperatoria en el centro.,FUTURO INVIERNO CENTRO RADIOTERAPIA INTRAOPERATORIA HACER
El sábado por la mañana le hicieron una quimioterapia intravenosa en la unidad.,PASADO SÁBADO MAÑANA UNIDAD QUIMIOTERAPIA INTRAVENOSA HACER
Hace tres días le hicieron una inmunoterapia con monoclonales en el instituto.,PASADO HACE TRES DÍAS INSTITUTO INMUNOTERAPIA MONOCLONALES HACER
La próxima semana le harán una hemodiálisis peritoneal en el centro.,FUTURO PRÓXIMA SEMANA CENTRO HEMODIÁLISIS PERITONEAL HACER
El año pasado le hicieron una plasmaféresis terapéutica en el hospital.,PASADO AÑO HOSPITAL PLASMAFÉRESIS TERAPÉUTICA HACER
Esta tarde le hacen una electromiografía de superficie en la clínica.,HOY TARDE CLÍNICA ELECTROMIOGRAFÍA SUPERFICIE HACER
El miércoles próximo le harán un encefalograma cuantitativo en el laboratorio.,FUTURO MIÉRCOLES LABORATORIO ENCEFALOGRAMA CUANTITATIVO HACER
El fin de semana que veniré le harán una polisomnografía nocturna en la unidad.,FUTURO FIN SEMANA UNIDAD POLISOMNOGRAFÍA NOCTURNA HACER
Ayer al anochecer le hicieron un test de alergias cutáneas en la consulta.,PASADO AYER ANOCHECER CONSULTA TEST ALERGIAS CUTÁNEAS HACER
El jueves pasado le hicieron una espirometría forzada en el hospital.,PASADO JUEVES HOSPITAL ESPIROMETRÍA FORZADA HACER
La semana pasada le hicieron una colonoscopia virtual en el centro.,PASADO SEMANA CENTRO COLONOSCOPIA VIRTUAL HACER
El mes pasado le hicieron una gastroscopia con sedación en la clínica.,PASADO MES CLÍNICA GASTROSCOPIA SEDACIÓN HACER
Mañana por la mañana le harán una manometría anorrectal en el laboratorio.,MAÑANA MAÑANA LABORATORIO MANOMETRÍA ANORRECTAL HACER
Anoche le hicieron una cápsula endoscópica inalámbrica en el hospital.,PASADO NOCHE HOSPITAL CÁPSULA ENDOSCÓPICA INALÁMBRICA HACER
El lunes próximo le harán una PHmetría esofágica ambulatoria en el centro.,FUTURO LUNES CENTRO PHMETRÍA ESOFÁGICA AMBULATORIA HACER
Hace cuatro días le hicieron una cápsula de hemorragia digestiva en el instituto.,PASADO HACE CUATRO DÍAS INSTITUTO CÁPSULA HEMORRAGIA DIGESTIVA HACER
Esta tarde le hacen un TAC multicorte en el hospital.,HOY TARDE HOSPITAL TAC MULTICORTE HACER
El año que veniré le harán una resonancia magnética funcional en el centro.,FUTURO AÑO CENTRO RESONANCIA MAGNÉTICA FUNCIONAL HACER
El verano pasado le hicieron un PET-TAC en el instituto oncológico.,PASADO VERANO INSTITUTO ONCOLÓGICO PET-TAC HACER
El año pasado le hicieron una gammagrafía ósea en el servicio.,PASADO AÑO SERVICIO GAMMAGRAFÍA ÓSEA HACER
La semana que veniré le harán una radiografía digital en la clínica.,FUTURO SEMANA CLÍNICA RADIOGRAFÍA DIGITAL HACER
Mañana por la tarde le harán una ecografía Doppler en el hospital.,MAÑANA TARDE HOSPITAL ECOGRAFÍA DOPPLER HACER
Anoche le hicieron una ecocardiografía transtorácica en el centro.,PASADO NOCHE CENTRO ECOCARDIOGRAFÍA TRANSTORÁCICA HACER
El día de su revisión le hicieron un análisis de sangre en el laboratorio.,PASADO DÍA REVISIÓN LABORATORIO ANÁLISIS SANGRE HACER
Hace una hora le hicieron un cultivo de exudado faríngeo en el hospital.,PASADO HACE UNA HORA HOSPITAL CULTIVO EXUDADO FARÍNGEO HACER
El otoño pasado le hicieron una biopsia prostática por punción en el centro.,PASADO OTOÑO CENTRO ÉL PRÓSTATA BIOPSIA PUNCIÓN HACER
El viernes por la tarde le hicieron una citología cervicovaginal en la consulta.,PASADO VIERNES TARDE CONSULTA ÉL CUELLO ÚTERO CITOLOGÍA HACER
Esta mañana han hecho un frotis de exudado uretral en el laboratorio.,HOY MAÑANA LABORATORIO ÉL URETRA EXUDADO FROTIS HACER
El martes le hicieron un urocultivo con antibiograma en el hospital.,PASADO MARTES HOSPITAL ÉL UROCULTIVO ANTIBIOGRAMA HACER
El año pasado le hicieron un coprocultivo parasitológico en el centro.,PASADO AÑO CENTRO ÉL COPROCULTIVO PARASITOLÓGICO HACER
La semana pasada le hicieron un esputo para BK en el laboratorio.,PASADO SEMANA LABORATORIO ÉL ESPUTO BK HACER
Mañana al amanecer le harán un LCR para cultivo en el hospital.,FUTURO MAÑANA AMANECER HOSPITAL ÉL LCR CULTIVO HACER
El jueves que veniré le harán una punción lumbar diagnóstica en el centro.,FUTURO JUEVES VENIR CENTRO ÉL PUNCIÓN LUMBAR DIAGNÓSTICA HACER
Anoche le hicieron una toracocentesis evacuadora en el hospital.,PASADO NOCHE HOSPITAL ÉL TORACOCENTESIS EVACUADORA HACER
El día de Navidad le hicieron una paracentesis abdominal en la clínica.,PASADO NAVIDAD CLÍNICA ÉL PARACENTESIS ABDOMINAL HACER
Hace cinco minutos le hicieron una artrocentesis de rodilla en el centro.,PASADO HACE CINCO MINUTOS CENTRO ÉL RODILLA ARTROCENTESIS HACER
El verano pasado le hicieron una biopsia hepática percutánea en el hospital.,PASADO VERANO HOSPITAL ÉL HÍGADO BIOPSIA PERCUTÁNEA HACER
El lunes pasado le hicieron una necropsia completa en el forense.,PASADO LUNES FORENSE ÉL NECROPSIA COMPLETA HACER
Esta mañana han hecho un cultivo celular para virus en el laboratorio.,HOY MAÑANA LABORATORIO ÉL CULTIVO CELULAR VIRUS HACER
El domingo por la tarde le hicieron un antibiograma automatizado en el hospital.,PASADO DOMINGO TARDE HOSPITAL ÉL ANTIBIOGRAMA AUTOMATIZADO HACER
El mes que veniré le harán una serología para enfermedades autoinmunes en el centro.,FUTURO MES VENIR CENTRO ÉL SEROLOGÍA ENFERMEDADES AUTOINMUNES HACER
Ayer por la noche le hicieron una PCR cuantitativa en el laboratorio.,PASADO AYER NOCHE LABORATORIO ÉL PCR CUANTITATIVA HACER
El invierno próximo le harán un ELISA para VIH en el centro.,FUTURO INVIERNO PRÓXIMO CENTRO ÉL ELISA VIH HACER
El sábado por la mañana le hicieron un Western blot confirmatorio en el instituto.,PASADO SÁBADO MAÑANA INSTITUTO ÉL WESTERN BLOT CONFIRMATORIO HACER
Hace tres días le hicieron un inmunoensayo enzimático en el laboratorio.,PASADO HACE TRES DÍAS LABORATORIO ÉL INMUNOENSAYO ENZIMÁTICO HACER
La próxima semana le harán un cultivo celular primario en el centro.,FUTURO PRÓXIMA SEMANA CENTRO ÉL CULTIVO CELULAR PRIMARIO HACER
El año pasado le hicieron una citometría de flujo en el hospital.,PASADO AÑO HOSPITAL ÉL CITOMETRÍA FLUJO HACER
Esta tarde le hacen una microscopía electrónica en el laboratorio.,HOY TARDE LABORATORIO ÉL MICROSCOPÍA ELECTRÓNICA HACER
El miércoles próximo le harán una espectrometría de masas en el instituto.,FUTURO MIÉRCOLES PRÓXIMO INSTITUTO ÉL ESPECTROMETRÍA MASAS HACER
El fin de semana que veniré le harán una cromatografía líquida en el centro.,FUTURO FIN SEMANA VENIR CENTRO ÉL CROMATOGRAFÍA LÍQUIDA HACER
Ayer al anochecer le hicieron una electroforesis capilar en el laboratorio.,PASADO AYER ANOCHECER LABORATORIO ÉL ELECTROFORESIS CAPILAR HACER
El jueves pasado le hicieron una centrifugación diferencial en el hospital.,PASADO JUEVES HOSPITAL ÉL CENTRIFUGACIÓN DIFERENCIAL HACER
La semana pasada le hicieron una ultrafiltración tangencial en el centro.,PASADO SEMANA CENTRO ÉL ULTRAFILTRACIÓN TANGENCIAL HACER
El mes pasado le hicieron una diálisis peritoneal en la clínica.,PASADO MES CLÍNICA ÉL DIÁLISIS PERITONEAL HACER
Mañana por la mañana le harán una liofilización de muestras en el laboratorio.,FUTURO MAÑANA MAÑANA LABORATORIO ÉL LIOFILIZACIÓN MUESTRAS HACER
Anoche le hicieron una cristalización de proteínas en el instituto.,PASADO NOCHE INSTITUTO ÉL CRISTALIZACIÓN PROTEÍNAS HACER
El lunes próximo le harán una síntesis peptídica en el centro.,FUTURO LUNES PRÓXIMO CENTRO ÉL SÍNTESIS PEPTÍDICA HACER
Hace cuatro días le hicieron una extracción de ADN en el laboratorio.,PASADO HACE CUATRO DÍAS LABORATORIO ÉL ADN EXTRACCIÓN HACER
Esta tarde le hacen una purificación de anticuerpos en el instituto.,HOY TARDE INSTITUTO ÉL ANTICUERPOS PURIFICACIÓN HACER
El año que veniré le harán una secuenciación genómica en el centro.,FUTURO AÑO VENIR CENTRO ÉL SECUENCIACIÓN GENÓMICA HACER
El verano pasado le hicieron una clonación molecular en el laboratorio.,PASADO VERANO LABORATORIO ÉL CLONACIÓN MOLECULAR HACER
El año pasado le hicieron una transfección estable en el instituto.,PASADO AÑO INSTITUTO ÉL TRANSFECCIÓN ESTABLE HACER
La semana que veniré le harán una transducción viral en el centro.,FUTURO SEMANA VENIR CENTRO ÉL TRANSDUCCIÓN VIRAL HACER
Mañana por la tarde le harán una transformación bacteriana en el laboratorio.,FUTURO MAÑANA TARDE LABORATORIO ÉL TRANSFORMACIÓN BACTERIANA HACER
Anoche le hicieron una conjugación plasmidial en el instituto.,PASADO NOCHE INSTITUTO ÉL CONJUGACIÓN PLASMIDIAL HACER
El día de su investigación le hicieron una mutación dirigida en el centro.,PASADO DÍA INVESTIGACIÓN CENTRO ÉL MUTACIÓN DIRIGIDA HACER
Hace una hora le hicieron una selección de clones en el laboratorio.,PASADO HACE UNA HORA LABORATORIO ÉL SELECCIÓN CLONES HACER
El otoño pasado le hicieron un screening de drogas en el instituto.,PASADO OTOÑO INSTITUTO ÉL SCREENING DROGAS HACER
El viernes por la tarde le hicieron un ensayo clínico fase III en el centro.,PASADO VIERNES TARDE CENTRO ÉL ENSAYO CLÍNICO FASE III HACER
Esta mañana han hecho un modelo animal transgénico en el laboratorio.,HOY MAÑANA LABORATORIO ÉL MODELO ANIMAL TRANSGÉNICO HACER
El martes le hicieron una simulación por ordenador en el instituto.,PASADO MARTES INSTITUTO ÉL SIMULACIÓN ORDENADOR HACER
El año pasado le hicieron un pronóstico estadístico en el centro.,PASADO AÑO CENTRO ÉL PRONÓSTICO ESTADÍSTICO HACER
La semana pasada le hicieron un diagnóstico genético preimplantacional en el laboratorio.,PASADO SEMANA LABORATORIO ÉL DIAGNÓSTICO GENÉTICO PREIMPLANTACIONAL HACER
Mañana al amanecer le harán un tratamiento génico en el instituto.,FUTURO MAÑANA AMANECER INSTITUTO ÉL TRATAMIENTO GÉNICO HACER
El jueves que veniré le harán una terapia celular en el centro.,FUTURO JUEVES VENIR CENTRO ÉL TERAPIA CELULAR HACER
Anoche le hicieron una rehabilitación vestibular en la clínica.,ANCHE CLÍNICA ELLOS REHABILITACIÓN VESTIBULAR HACER
El día de Navidad le hicieron una cura tópica en el hospital.,DÍA NAVIDAD HOSPITAL ELLOS CURA TÓPICA HACER
Hace cinco minutos le hicieron un vendaje compresivo en la consulta.,PASADO CINCO MINUTOS CONSULTA ELLOS VENDAJE COMPRESIVO HACER
El verano pasado le hicieron una inmovilización con férula en el centro.,VERANO PASADO CENTRO ELLOS INMOVILIZACIÓN FÉRULA HACER
El lunes pasado le hicieron una tracción esquelética en el hospital.,LUNES PASADO HOSPITAL ELLOS TRACCIÓN ESQUELÉTICA HACER
Esta mañana han hecho una reducción abierta en la clínica.,HOY MAÑANA CLÍNICA ELLOS REDUCCIÓN ABIERTA HACER
El domingo por la tarde le hicieron una fijación interna en el quirófano.,DOMINGO TARDE QUIRÓFANO ELLOS FIJACIÓN INTERNA HACER
El mes que veniré le harán una osteosíntesis con placa en el hospital.,FUTURO PRÓXIMO MES HOSPITAL ELLOS OSTEOSÍNTESIS PLACA HACER
Ayer por la noche le hicieron una artroplastia total en el centro.,AYER NOCHE CENTRO ELLOS ARTROPLASTIA TOTAL HACER
El invierno próximo le harán una prótesis modular en el instituto.,FUTURO PRÓXIMO INVIERNO INSTITUTO ELLOS PRÓTESIS MODULAR HACER
El sábado por la mañana le hicieron una ortesis dinámica en la clínica.,SÁBADO MAÑANA CLÍNICA ELLOS ORTESIS DINÁMICA HACER
Hace tres días le hicieron una férula termoplástica en el hospital.,PASADO TRES DÍAS HOSPITAL ELLOS FÉRULA TERMOPLÁSTICA HACER
La próxima semana le harán un yeso fenestrado en el centro.,FUTURO PRÓXIMA SEMANA CENTRO ELLOS YESO FENESTRADO HACER
El año pasado le hicieron una escayola sintética en la clínica.,AÑO PASADO CLÍNICA ELLOS ESCAYOLA SINTÉTICA HACER
Esta tarde le hacen una rehabilitación proprioceptiva en el hospital.,HOY TARDE HOSPITAL ELLOS REHABILITACIÓN PROPRIOCEPTIVA HACER
El miércoles próximo le harán una fisioterapia manual en el centro.,FUTURO PRÓXIMO MIÉRCOLES CENTRO ELLOS FISIOTERAPIA MANUAL HACER
El fin de semana que veniré le harán una hidroterapia de contraste en la clínica.,FUTURO PRÓXIMO FIN SEMANA CLÍNICA ELLOS HIDROTERAPIA CONTRASTE HACER
Ayer al anochecer le hicieron una crioterapia sistémica en el hospital.,AYER ANOCHECER HOSPITAL ELLOS CRIOTERAPIA SISTÉMICA HACER
El jueves pasado le hicieron una termoterapia superficial en el centro.,JUEVES PASADO CENTRO ELLOS TERMOTERAPIA SUPERFICIAL HACER
La semana pasada le hicieron una electroterapia analgésica en la clínica.,SEMANA PASADA CLÍNICA ELLOS ELECTROTERAPIA ANALGÉSICA HACER
El mes pasado le hicieron una magnetoterapia pulsada en el hospital.,MES PASADO HOSPITAL ELLOS MAGNETOTERAPIA PULSADA HACER
Mañana por la mañana le harán una laserterapia antiinflamatoria en el centro.,MAÑANA MAÑANA CENTRO ELLOS LASERTERAPIA ANTIINFLAMATORIA HACER
Anoche le hicieron una ultrasonoterapia de tejidos profundos en la clínica.,ANCHE CLÍNICA ELLOS ULTRASONOTERAPIA TEJIDOS PROFUNDOS HACER
El lunes próximo le harán una radioterapia estereotáctica en el hospital.,FUTURO PRÓXIMO LUNES HOSPITAL ELLOS RADIOTERAPIA ESTEREOTÁCTICA HACER
Hace cuatro días le hicieron una quimioterapia intraarterial en el centro.,PASADO CUATRO DÍAS CENTRO ELLOS QUIMIOTERAPIA INTRAARTERIAL HACER
Esta tarde le hacen una inmunoterapia adoptiva en el instituto.,HOY TARDE INSTITUTO ELLOS INMUNOTERAPIA ADOPTIVA HACER
El año que veniré le harán una hormonoterapia sustitutiva en la clínica.,FUTURO PRÓXIMO AÑO CLÍNICA ELLOS HORMONOTERAPIA SUSTITUTIVA HACER
El verano pasado le hicieron una antibioterapia intravenosa en el hospital.,VERANO PASADO HOSPITAL ELLOS ANTIBIOTERAPIA INTRAVENOSA HACER
El año pasado le hicieron una antiviroterapia oral en el centro.,AÑO PASADO CENTRO ELLOS ANTIVIROPTERAPIA ORAL HACER
La semana que veniré le harán una antifúngica tópica en la clínica.,FUTURO PRÓXIMA SEMANA CLÍNICA ELLOS ANTIFÚNGICA TÓPICA HACER
Mañana por la tarde le harán una antiparasitaria sistémica en el hospital.,MAÑANA TARDE HOSPITAL ELLOS ANTIPARASITARIA SISTÉMICA HACER
Anoche le hicieron una inmunosupresión controlada en el centro.,ANCHE CENTRO ELLOS INMUNOSUPRESIÓN CONTROLADA HACER
El día de su tratamiento le hicieron una inmunomodulación celular en el instituto.,DÍA TRATAMIENTO INSTITUTO ELLOS INMUNOMODULACIÓN CELULAR HACER
Hace una hora le hicieron una vacunación terapéutica en la clínica.,PASADO UNA HORA CLÍNICA ELLOS VACUNACIÓN TERAPÉUTICA HACER
